"","Open","High","Low","Close","Med","CO"
"2017-02-07 19:30:00",1.07112,1.07148,1.07028,1.07123,1.07088,0.000109999999999832
"2017-02-07 20:00:00",1.07124,1.072,1.07089,1.07128,1.071445,4.000000000004e-05
"2017-02-07 20:30:00",1.07129,1.07298,1.0712,1.07235,1.07209,0.00105999999999984
"2017-02-07 21:00:00",1.07234,1.07311,1.0721,1.07284,1.072605,0.000499999999999945
"2017-02-07 21:30:00",1.07285,1.07443,1.07268,1.07438,1.073555,0.00152999999999981
"2017-02-07 22:00:00",1.07437,1.07455,1.07385,1.07421,1.0742,-0.000159999999999938
"2017-02-07 22:30:00",1.07421,1.0745,1.07384,1.07449,1.07417,0.000279999999999836
"2017-02-07 23:00:00",1.07448,1.07495,1.07444,1.07482,1.074695,0.000340000000000007
"2017-02-07 23:30:00",1.07482,1.07482,1.0742,1.07435,1.07451,-0.000470000000000192
"2017-02-08 00:00:00",1.07436,1.07439,1.07402,1.07418,1.074205,-0.000180000000000069
"2017-02-08 00:30:00",1.07417,1.07454,1.07363,1.07367,1.074085,-0.000500000000000167
"2017-02-08 01:00:00",1.07366,1.07398,1.07347,1.07371,1.073725,4.99999999998835e-05
"2017-02-08 01:30:00",1.07372,1.07478,1.07345,1.07478,1.074115,0.00106000000000006
"2017-02-08 02:00:00",1.07478,1.07543,1.0746,1.07491,1.075015,0.000129999999999963
"2017-02-08 02:30:00",1.0749,1.07513,1.07394,1.07414,1.074535,-0.000759999999999872
"2017-02-08 03:00:00",1.07414,1.07525,1.07394,1.07458,1.074595,0.000439999999999996
"2017-02-08 03:30:00",1.07456,1.07536,1.07405,1.0742,1.074705,-0.000359999999999916
"2017-02-08 04:00:00",1.07421,1.07491,1.07337,1.07341,1.07414,-0.000800000000000134
"2017-02-08 04:30:00",1.07342,1.07426,1.07253,1.07275,1.073395,-0.000669999999999948
"2017-02-08 05:00:00",1.07273,1.07326,1.07248,1.07273,1.07287,0
"2017-02-08 05:30:00",1.07275,1.07306,1.07225,1.07254,1.072655,-0.000210000000000043
"2017-02-08 06:00:00",1.07253,1.07404,1.07253,1.07386,1.073285,0.00133000000000005
"2017-02-08 06:30:00",1.07389,1.07447,1.07366,1.07374,1.074065,-0.000150000000000095
"2017-02-08 07:00:00",1.07372,1.07385,1.0727,1.07291,1.073275,-0.000809999999999977
"2017-02-08 07:30:00",1.07291,1.07338,1.07259,1.07289,1.072985,-2.0000000000131e-05
"2017-02-08 08:00:00",1.0729,1.07342,1.07269,1.07308,1.073055,0.000180000000000069
"2017-02-08 08:30:00",1.07307,1.07434,1.07306,1.07339,1.0737,0.000320000000000098
"2017-02-08 09:00:00",1.07339,1.07353,1.07091,1.07283,1.07222,-0.000560000000000116
"2017-02-08 09:30:00",1.07282,1.07374,1.07277,1.07298,1.073255,0.000159999999999938
"2017-02-08 10:00:00",1.07298,1.0733,1.07059,1.07248,1.071945,-0.000499999999999945
"2017-02-08 10:30:00",1.07247,1.0728,1.07064,1.07252,1.07172,4.99999999998835e-05
"2017-02-08 11:00:00",1.0725,1.07439,1.0725,1.07385,1.073445,0.00134999999999996
"2017-02-08 11:30:00",1.07385,1.07517,1.07378,1.07475,1.074475,0.000900000000000123
"2017-02-08 12:00:00",1.07473,1.07479,1.07264,1.07318,1.073715,-0.00154999999999994
"2017-02-08 12:30:00",1.07318,1.07445,1.07315,1.07392,1.0738,0.000739999999999963
"2017-02-08 13:00:00",1.07393,1.07416,1.07232,1.07255,1.07324,-0.00138000000000016
"2017-02-08 13:30:00",1.07256,1.07276,1.07196,1.07266,1.07236,9.9999999999989e-05
"2017-02-08 14:00:00",1.07264,1.07349,1.07248,1.07341,1.072985,0.000769999999999937
"2017-02-08 14:30:00",1.0734,1.07365,1.07296,1.07357,1.073305,0.000170000000000003
"2017-02-08 15:00:00",1.07357,1.07425,1.07355,1.0739,1.0739,0.000330000000000163
"2017-02-08 15:30:00",1.07389,1.07491,1.07374,1.07457,1.074325,0.000680000000000014
"2017-02-08 16:00:00",1.07454,1.07513,1.07442,1.0747,1.074775,0.000159999999999938
"2017-02-08 16:30:00",1.07473,1.07481,1.07408,1.0743,1.074445,-0.00042999999999993
"2017-02-08 17:00:00",1.07431,1.07493,1.07422,1.07492,1.074575,0.000609999999999999
"2017-02-08 17:30:00",1.0749,1.07681,1.07485,1.07629,1.07583,0.00139
"2017-02-08 18:00:00",1.07631,1.07687,1.07609,1.07649,1.07648,0.000179999999999847
"2017-02-08 18:30:00",1.07649,1.07721,1.07612,1.07716,1.076665,0.000669999999999948
"2017-02-08 19:00:00",1.07719,1.0772,1.07655,1.07689,1.076875,-0.000300000000000189
"2017-02-08 19:30:00",1.0769,1.07692,1.07577,1.07587,1.076345,-0.00102999999999986
"2017-02-08 20:00:00",1.07587,1.07614,1.07544,1.07582,1.07579,-5.00000000001055e-05
"2017-02-08 20:30:00",1.07578,1.07608,1.07536,1.07594,1.07572,0.000159999999999938
"2017-02-08 21:00:00",1.07595,1.07595,1.07447,1.07472,1.07521,-0.00123000000000006
"2017-02-08 21:30:00",1.07475,1.07568,1.07464,1.0754,1.07516,0.000649999999999817
"2017-02-08 22:00:00",1.0754,1.07665,1.07536,1.07639,1.076005,0.000990000000000046
"2017-02-08 22:30:00",1.0764,1.07659,1.07572,1.07581,1.076155,-0.00059000000000009
"2017-02-08 23:00:00",1.07574,1.07664,1.07553,1.07662,1.076085,0.000879999999999992
"2017-02-08 23:30:00",1.07661,1.07705,1.0759,1.07594,1.076475,-0.00067000000000017
"2017-02-09 00:00:00",1.07593,1.07621,1.07526,1.07534,1.075735,-0.00059000000000009
"2017-02-09 00:30:00",1.07534,1.07553,1.07487,1.07507,1.0752,-0.000269999999999992
"2017-02-09 01:00:00",1.07508,1.07583,1.07497,1.07536,1.0754,0.000280000000000058
"2017-02-09 01:30:00",1.07536,1.07596,1.07479,1.07548,1.075375,0.000119999999999898
"2017-02-09 02:00:00",1.07547,1.07565,1.07475,1.07482,1.0752,-0.000649999999999817
"2017-02-09 02:30:00",1.07483,1.07515,1.07372,1.07407,1.074435,-0.000759999999999872
"2017-02-09 03:00:00",1.07408,1.07484,1.07371,1.07469,1.074275,0.000609999999999999
"2017-02-09 03:30:00",1.07468,1.07493,1.07335,1.07373,1.07414,-0.000950000000000006
"2017-02-09 04:00:00",1.07372,1.07525,1.07364,1.07466,1.074445,0.000939999999999941
"2017-02-09 04:30:00",1.07466,1.07504,1.07408,1.07471,1.07456,5.00000000001055e-05
